Site,Latitude,Longitude
ROPL_Cottle_TX,34.14416667,-100.3627778
ROPL_Hardeman_TX,34.11111111,-99.755
ROPL_Taylor_TX,32.35277778,-100.09
SETX_Ang_TX,31.30916667,-94.825
SETX_Newt_TX,30.62833333,-93.82277778
SETX_SAug_TX,31.44166667,-94.09027778
SETX_Tylr_TX,30.73972222,-94.43111111
SOPL_Crane_TX,31.50333333,-102.3455556
SOPL_Crockett_TX,30.98611111,-101.1575
SOPL_Howard_TX,32.22916667,-101.4869444
SOPL_Pecos_TX,30.46083333,-102.88
SOPL_Terrell_TX,30.48166667,-101.8066667
TPEC_BrewsterBBNP_TX,29.26916667,-103.3016667
TPEC_Brewster_TX,30.04833333,-103.4902778
TPEC_JeffDavis2_TX,30.62944444,-104.1316667
TPEC_JeffDavis_TX,30.59583333,-103.9230556
TPEC_Presidio_TX,30.07416667,-104.4538889
WPW_Andr_TX,31.77416667,-95.66222222
WPW_Hous_TX,31.32777778,-95.40944444
WPW_Mont_TX,30.23583333,-95.48277778
WPW_Walk_TX,30.6175,-95.53222222
Browns Gap,38.24166667,-78.71222222
Headquarters,38.6675,-78.375
Path_Ridge,38.47333333,-79.2
Path_Ridge2,38.47333333,-79.2
Glendora Motorway,34.16583333,-117.8613889
Gold Creek,34.32194444,-118.3177778
Lake Hughes,34.54333333,-118.5613889
Mt. Baldy Village,34.23388889,-117.6638889
Hastings New Growth,36.38472222,-121.5502778
Hastings Old Growth,36.38472222,-121.5502778
Lockwood New Growth,35.95083333,-121.0008333
Lockwood Old Gorwth,35.95083333,-121.0008333
Parkfield New Growth,35.96666667,-120.4730556
Parkfield Old Growth,35.96666667,-120.4730556
Pebble Beach New Growth,36.59111111,-121.9363889
Pebble Beach Old Growth,36.59111111,-121.9363889
Smith Ranch,36.54472222,-121.1608333
Los Gatos,36.20916667,-120.5119444
Anza,33.54833333,-116.7175
Pine Cove,33.72166667,-116.7225
San Jacinto,33.79388889,-116.9261111
Temecula,33.4575,-117.1711111
Case Springs RAWS,33.44138889,-117.3966667
Mt. Woodson Station,33.00277778,-116.9613889
Potrero Station,32.58833333,-116.5441667
Rainbow Camp,33.4275,-117.1183333
Warner Springs Station,33.27166667,-116.6388889
White Star,32.64694444,-116.3166667
Irish Hills,35.25388889,-120.7075
Lopez Lake,35.19333333,-120.445
Parkhill,35.41,-120.5422222
Sonora,38.00333333,-120.3516667
Valley Springs,38.11472222,-120.79
Jake Flat,36.27222222,-118.7558333
Black Star CNF,33.75472222,-117.6708333
Cameron,32.73361111,-116.45
DESCANSO STATION,32.85694444,-116.6222222
El Cariso CNF,33.6625,-117.4172222
Temescal CNF,33.74805556,-117.4813889
Combined,37.73527778,-119.0002778
Crestview 1000 hour,37.73527778,-119.0002778
Crestview sagebrush combined averages,37.73527778,-119.0002778
Crestview sagebrush new growth,37.73527778,-119.0002778
Crestview sagebrush old growth,37.73527778,-119.0002778
"Bitter Canyon, Castaic",34.51,-118.5944444
Bouquet Canyon,34.48611111,-118.4727778
"Clark Motorway, Malibu",34.08444444,-118.8625
"Glendora Ridge, Glendora",34.16527778,-117.865
"La Tuna Canyon, Tujunga",34.24666667,-118.3027778
"Laurel Canyon, Mt. Olympus",34.12472222,-118.3688889
Peach Motorway,34.35555556,-118.5347222
Pico Canyon,34.37777778,-118.5955556
Placerita Canyon,34.37527778,-118.4388889
Plum Canyon,34.44333333,-118.4927778
"Schueren Road, Malibu",34.07888889,-118.6447222
"Stunt Road, Calabasas",34.10111111,-118.655
Sycamore Canyon,34.1525,-117.8019444
Templin Highway,34.57166667,-118.6777778
"Trippet Ranch, Topanga",34.09333333,-118.5977778
Woolsey Canyon,34.2325,-118.6658333
Gifford,35.10888889,-120.0763889
Los Alamos,34.70138889,-118.8186111
Oak Flat,34.47138889,-118.9108333
Reyes Creek,34.67833333,-119.3097222
Rose Valley,34.55055556,-119.1763889
San Marcos,34.51194444,-119.8055556
nacimiento,36.0075,-121.45
ponderosa,35.99833333,-121.3852778
upper oso,34.55416667,-119.7672222
Black Star,33.75472222,-117.6708333
RMV,33.5,-117.5166667
4S Ranch,33.035,-117.1033333
El Apajo,33.02,-117.1691667
Barrett,0,0
Deluz-New Growth,0,0
Deluz-Old Growth,0,0
Descanso-New Growth,0,0
Descanso-Old Growth,0,0
East Grade,0,0
Fallbrook-New Growth,0,0
Fallbrook-Old Growth,0,0
Mountain Empire,0,0
Posta Mountain,0,0
Rainbow Valley-New Growth,0,0
Rainbow Valley-Old Growth,0,0
San Felipe,0,0
Suncrest,0,0
Converse,34.18972222,-116.8905556
Strawberry,33.70833333,-116.7708333
Cachuma,34.58,-119.9777778
Harris Grade,34.69138889,-120.4455556
Refugio,34.51833333,-120.0766667
Tepusquet,34.98805556,-120.1966667
West Gaviota,34.48972222,-120.36
Elk Creek,36.51083333,-118.8052778
"Kinsman Ceanothus, Buckbrush New",37.19805556,-119.4197222
"Kinsman Ceanothus, Buckbrush Old",37.19805556,-119.4197222
"Kinsman Manzanita, Whiteleaf New",37.19805556,-119.4197222
"Kinsman Manzanita, Whiteleaf Old",37.19805556,-119.4197222
Cottage,38.345,-120.2283333
Groveland,37.69833333,-120.1169444
Mount Provo1,38.01388889,-120.1866667
Mt Elizabeth,38.06305556,-120.2475
Summit1,38.1925,-120.1230556
Summit2,38.16694444,-120.1105556
"Circle X, Malibu",34.11083333,-118.9372222
"Laguna Ridge, Casitas",34.4,-119.3788889
"Los Robles, Thousand Oaks",34.17166667,-118.8822222
"Sisar Canyon, Upper Ojai Valley",34.4475,-119.1352778
"Tapo Canyon, Simi Valley",34.30638889,-118.7102778
Badger Pass,37.66277778,-119.6613889
Crane Flat - New,37.74972222,-119.8058333
Crane Flat - Old,37.74972222,-119.8058333
El Portal,37.67972222,-119.7847222
Foresta - New,37.7025,-119.7447222
Foresta - Old,37.7025,-119.7447222
Summit,37.67166667,-119.6572222
Wawona - New,37.56305556,-119.6933333
Wawona - Old,37.56305556,-119.6933333
Yosemite Valley,37.72194444,-119.6041667
NAA Piney Hill,35.76027778,-109.1669444
CRD Co 12st & Levee,0,0
CRD Confluence K2,32.71416667,-114.5375
CRD Hualapai Mtns,35.08611111,-113.8727778
GID Guthrie Peak,32.89083333,-109.3252778
GID Mule Mountain,31.47888889,-109.9616667
PHD Poland Junction,34.4675,-112.2669444
PHD Yarnell,34.21388889,-112.7522222
CHP Admin Road,32.00555556,-109.3577778
FBP Weather Station,32.14638889,-109.4352778
GCP LJ-3 PIED,36.04472222,-112.0941667
GCP LJ-3 PIPO,36.03472222,-112.0858333
GCP Shoeshone PIED,36.04,-112.0616667
GCP Shoeshone PIPO,36.03694444,-112.0619444
ASF Greer,34.03361111,-109.4522222
ASF Larson,34.34444444,-110.8330556
ASF Little MC,33.86166667,-109.0830556
ASF Little Pine,33.85861111,-109.0825
ASF Trail Cabin,33.26444444,-109.3677778
COF Baker,34.45638889,-111.4063889
COF Blue Ridge,34.60916667,-111.1847222
COF Cow Trap,34.72,-111.0908333
COF Fort Valley,35.28916667,-111.7191667
COF Marshall Lake,35.09888889,-111.5355556
COF Mormon Lake,35.15833333,-111.6625
COF Thompson Lane,34.91444444,-111.7258333
COF Winona,35.17861111,-111.3816667
CNF Alamo Canyon,31.37027778,-111.0144444
CNF Bog Springs,31.72722222,-110.8752778
CNF Columbine,32.70333333,-109.9116667
CNF Dry Lake,32.75361111,-110.0522222
CNF High Creek,32.55666667,-110.2297222
CNF Lower Carr,31.44861111,-110.2844444
CNF Mt. Hopkins,31.675,-110.88
CNF Noon Creek,32.66555556,-109.7955556
CNF Reddington Pass,32.30305556,-110.5808333
CNF Scout Camp,32.48111111,-110.725
CNF Shake Trail,32.62888889,-109.84
KNF 223-229,0,0
KNF 429-454,0,0
KNF City,35.27361111,-112.3611111
KNF Dry Park,0,0
KNF Franks,0,0
KNF Jacob Lake,0,0
KNF Lefevre,0,0
KNF Little Mountain,0,0
KNF Tater,0,0
PNF Cherry,34.59194444,-112.0444444
PNF Iron Springs,34.60083333,-112.5408333
PNF White Spar,34.44388889,-112.5477778
TNF Globe RAWS,33.32666667,-110.7666667
TNF Payson RD,34.24222222,-111.3058333
NAA Narbona Pass,36.07694444,-108.8605556
ZUA Buttes,35.14083333,-108.9413889
ZUA Repeater,34.96555556,-108.5866667
ABD Chain of Craters,34.86388889,-108.1769444
ABD Coal Creek,35.86666667,-106.9741667
ABD Grants,34.94972222,-107.8
CAD Alkali Lake,32.5025,-104.2091667
FAD ES1,36.27138889,-107.565
FAD HC1,36.86111111,-107.8869444
FAD JC1,36.98611111,-107.3025
FAD RO1,36.85138889,-107.4133333
FAD Rosa,36.80972222,-107.4763889
LCD Dripping Springs,32.31777778,-106.5833333
SCD Chupadera,33.88166667,-106.2347222
SCD Datil PIPO,34.17944444,-107.8947222
SCD Datil Well,34.1525,-107.8602778
TAD Copper Hill North,36.20916667,-105.7575
TAD Copper Hill South,36.21361111,-105.7591667
TAD Scout Camp North,35.90666667,-105.8955556
TAD Scout Camp South,35.90777778,-105.8955556
TAD TAFO CH1,36.21361111,-105.7611111
TAD TAFO CR1,36.93888889,-105.6683333
TAD TAFO PM1,36.71333333,-105.8013889
TAD TAFO SC1,35.9,-105.89
TAD TAFO WM1,36.74305556,-105.9366667
TAD TAFO WR1,36.71333333,-105.6686111
TAD Wild Rivers North,36.68916667,-105.6747222
TAD Wild Rivers South,36.68305556,-105.6697222
BAP Apache Springs,35.82611111,-106.39
BAP Burnt Mesa,35.81777778,-106.3394444
BAP Cerro Grande,35.84527778,-106.4030556
BAP Scooter Peak,35.83388889,-106.4422222
EMP ELMA Fire Cache,34.99166667,-108.0383333
CAF Bixler,36.79888889,-107.2311111
CAF Carracas,36.97055556,-107.2869444
CAF Cebolla,36.52777778,-106.4458333
CAF Lost Lakes,36.62722222,-107.2133333
CAF Lucero Lakes,36.79972222,-106.1208333
CAF MDLV,36.41083333,-106.5572222
CAF Malpais,36.6175,-106.0113889
CAF Questa 1,36.73361111,-105.4969444
CAF Questa 2,36.6675,-105.6397222
CAF Truchas 1,36.06861111,-105.8072222
CAF Truchas 2,36.0475,-105.7361111
CIF David Canyon,34.98916667,-106.3544444
CIF Doc Long,35.17722222,-106.3816667
CIF Gallinas,34.23305556,-105.7961111
CIF Monica,33.89138889,-107.4908333
CIF Red Canyon,34.62333333,-106.4116667
CIF Thunderbird,34.56611111,-106.3886111
GNF Aspen Mtn,33.73472222,-108.9508333
GNF Jenkins Creek,33.95777778,-109.0191667
GNF Lincoln Canyon,32.995,-108.0669444
GNF Slaughter,34.06055556,-108.445
LNF Cosmic,32.77944444,-105.8188889
LNF Mayhill,32.92111111,-105.4627778
LNF Queen Admin,32.20388889,-104.6897222
LNF Smokey Bear,33.35055556,-105.6763889
LNF West Side,32.92138889,-105.835
SNF Banco Bonito,35.84583333,-106.6130556
SNF Caja Del Rio,35.70361111,-106.1675
SNF Encinoso,35.665,-105.4344444
SNF La Cueva,35.61333333,-105.7308333
SNF Las Vacas,35.995,-106.8183333
SNF Pecos,35.545,-105.4969444
SNF Watershed,35.68666667,-105.8602778
Bob Scott,39.45833333,-116.9933333
Burnside,38.75944444,-119.9269444
Clark Canyon,36.30527778,-115.8083333
Dog Valley RAWS,39.56388889,-120.0494444
Kingsbury,38.97611111,-119.8622222
Kyle Canyon,36.26111111,-115.6158333
Lee Canyon,36.34472222,-115.6505556
Long Doctor,38.49611111,-119.1986111
Lovell Canyon,36.08166667,-115.5619444
Manhattan,38.54805556,-117.035
Mill Canyon,38.44805556,-119.49
Mitchell Canyon,39.61861111,-120.0116667
Secret Springs,38.84111111,-115.2852778
Twin Lakes,38.17333333,-119.3258333
Ward,39.16916667,-114.9716667
Wolf Creek,38.61,-119.695
Adobe Creek,40.84833333,-116.0697222
Austin,39.48277778,-117.0719444
Austin N6B,39.48277778,-117.2405556
Carson,39.20722222,-119.7219444
DOYLE,40.04944444,-120.0272222
DUCK CREEK,39.49861111,-114.74
Fencemaker,40.07166667,-117.8488889
Fish Springs,38.93222222,-119.6486111
Fortynine C2A,41.55055556,-121.0152778
JAKES VALLEY,38.91805556,-114.9569444
Lewis Canyon,40.47222222,-116.88
Lovell Canyon,36.07916667,-115.535
Lucky Springs,39.46222222,-115.9355556
Markleeville,38.7275,-119.7861111
McCoy Ridge,39.49138889,-115.9913889
National,41.86722222,-117.6813889
New Jungo,40.96833333,-117.8022222
PIOCHE,37.94694444,-114.3825
Palisade,40.615,-116.1633333
Panter,40.54638889,-117.5752778
Pine Creek,36.12305556,-115.4641667
RAINBOW CANYON,38.25,-114.5475
RUTH,39.30972222,-114.9825
Red Rock,36.18222222,-115.5022222
Sedge,39.16416667,-117.8219444
Walker,38.56944444,-119.4558333
Warm Springs,39.78916667,-119.6863889
Wells,41.12027778,-114.9369444
